TAIL_KEY,TAIL_NUM,MODEL_STD,MAX_SEATS,EXPECTED_PASSENGERS,AIRLINE_NAME,CONCOURSE,GATE_COUNT,A_GATES,B_GATES,C_GATES,D_GATES,E_GATES,NUM_DOORS_USED,SEAT_LAYOUT,AVG_ROW_NUM
17279,N17279,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17285,N17285,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17289,N17289,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17294,N17294,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17296,N17296,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
172US,N172US,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
17300,N17300,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17301,N17301,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17302,N17302,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
17303,N17303,737 MAX 8,210.0,181.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
