TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N538UW,N538UW,N538UW,AIRBUS,A321-231,5,5,2009,20091009,V,51547774,A6CFFC,True,True,True
N8741L,N8741L,N8741L,BOEING,737-8,5,5,2021,20210204,V,53003670,AC07B8,True,True,True
293NV,293NV,N293NV,AIRBUS,A320-214,5,5,2011,20210201,V,50600737,A301DF,True,True,True
N334NB,N334NB,N334NB,AIRBUS INDUSTRIE,A319-114,5,5,2002,20020315,V,50722731,A3A5D9,True,True,True
N705FR,N705FR,N705FR,AIRBUS,A321-211,5,5,2015,20151211,V,52263656,A967AE,True,True,True
N37525,N37525,N37525,BOEING,737-9,5,5,2021,20210115,V,51044432,A4491A,True,True,True
N8705Q,N8705Q,N8705Q,BOEING,737-8,5,5,2017,20170827,V,52774554,ABF96C,True,True,True
N109HQ,N109HQ,N109HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2007,20070530,V,50023341,A026E1,True,True,True
N848DN,N848DN,N848DN,BOEING,737-932ER,5,5,2015,20151113,V,52716751,AB9DE9,True,True,True
N570NN,N570NN,N570NN,BOMBARDIER INC,CL-600-2D24,5,5,2015,20150311,V,51647642,A74FA2,True,True,True
N374FR,N374FR,N374FR,AIRBUS,A320-251N,5,5,2021,20210429,V,51041464,A44334,True,True,True
N791SW,N791SW,N791SW,,,,,,,,,,False,False,False
N76254,N76254,N76254,BOEING,737-824,5,5,2000,20000927,V,52446032,AA4C1A,True,True,True
N980AN,N980AN,N980AN,BOEING,737-823,5,5,2009,20090321,V,53325461,ADAB31,True,True,True
N8742M,N8742M,N8742M,BOEING,737-8,5,5,2020,20210111,V,53003734,AC07DC,True,True,True
N346PR,N346PR,N346PR,BOEING,737-800,5,5,2017,20170909,V,50752355,A3D4ED,True,True,True
N423YX,N423YX,N423YX,EMBRAER S A,ERJ 170-200 LR,5,5,2014,20140326,V,51204400,A50900,True,True,True
N603NN,N603NN,N603NN,BOMBARDIER INC,CL-600-2D24,5,5,2019,20190513,V,51751635,A7D39D,True,True,True
